isbn,title,rating_count,reviews,rating_value
964638028X,هزارتوهای بورخس,25377,1223,4.46
9646701183,دفترچه ممنوع,898,75,3.45
,مهمانی خداحافظی,10805,622,3.85
9647081081,هفده داستان كوتاه از هفده نويسنده ناشناس,135,4,3.32
9789643725495,حالات و مقامات م. امید,125,14,3.80
Persian,تام ساير,670635,8444,3.90
Persian,مرگ در جنگل,400,35,3.88
9789642090235,قصر,36959,1592,3.97
9646796249,پسرک لبوفروش,274,9,3.72
Persian,تو را دوست دارم چون نان و نمک,541,37,3.59
Persian,خوبیِ خدا,842,88,3.61
Persian,زندگی جای دیگری است,12911,670,3.95
9643621464,دیوانه بازی,1430,157,3.74
9643058204,تقسیم,635,46,3.53
0000004353,هوشمندان سیاره اوراک,424,38,3.67
Persian,پنجره زودتر می‌میرد,91,12,3.79
0307277674,The Da Vinci Code,1700640,44205,3.82
9644322959,كودك، سرباز و دريا,235,19,3.82
9789642436064,زمستان ۶۶,73,6,2.81
9649971580,رنج‌های ورتر جوان,64979,3252,3.65
Persian,نوشتن با دوربین,410,29,3.39
9646141307,از پیدا و پنهان,24,1,4.04
9786007289075,فلسفه‌ای برای زندگی: رواقی زیستن در دنیای امروز,10058,854,4.21
9644482247,گدا,3136,477,3.71
English,Pride and Prejudice,2523680,55928,4.25
9645881625,چه كسی باور می‌كند، رُستم,439,47,3.56
Persian,حافظ به سعی سایه,6973,312,4.64
Persian,پیكر فرهاد,1269,94,3.36
Farsi,پاگرد,136,12,3.24
Farsi,داستان ادبیات و سرگذشت اجتماع,22,2,3.68
9643155625,جنس دوم,24597,1040,4.12
0096494166,كتاب كوچك فنگ شويي,59,4,3.07
9643112551,زندگی نو,6373,458,3.55
0096491396,خورشيد را بيدار كنيم,3028,123,3.99
9789646003781,بی بال پریدن,300,31,3.72
Persian,یکی بود و یكی نبود,919,58,3.72
0099578514,Midnight's Children,93727,5580,3.99
Persian,ترانه‌های کوچکِ غربت,528,29,4.15
Persian,و نیچه گریه کرد,34155,2007,4.29
9646205607,در غرب خبری نیست,317376,8603,3.95
9646194265,جای خالی سلوچ,3533,337,4.11
9789645600158,انسان و سرنوشت,151,15,3.64
9789643055745,روی ماه خداوند را ببوس,6265,462,3.09
9789646751491,سلاخ‌خانه‌ی شماره‌ی پنج,999399,23091,4.07
Persian,یک جلوش تا بینهایت صفرها,614,29,3.46
9789644481550,مدراتوکانتابیله,3239,221,3.52
Persian,مثنوی معنوی,3497,180,4.44
964908382,میان اشباح,7,1,3.71
9789643112,دالان بهشت,1642,155,2.91
0192833596,Great Expectations,575829,13993,3.76
9645571030,نیمه غایب,997,60,3.28
9645639239,روی سل پایانی,7,0,2.86
9644362055,کشتی پهلو گرفته,710,58,4.04
9643626164,هیچ‌کس مثل تو مال این‌جا نیست,30676,3431,3.82
Persian,رود راوی,263,33,3.61
Persian,اقلیم حضور: یادنامه شاهرخ مسکوب,7,3,4.29
9645732417,دریا در من,360,25,3.54
9645881420,خاطرات پس از مرگ براس کوباس,13178,528,4.23
9643620344,سه قطره خون,4966,176,3.78
9649210644,چنين گذشت بر من,448,60,3.83
0096467512,حقایق درباره‌ی لیلا دختر ادریس,449,22,3.72
Persian,باغ بلور,426,22,2.94
9789645512387,پرده‌خانه,245,16,3.96
9645512190,عیّار تنها,227,12,3.69
0571160824,Betrayal,5718,228,3.96
9643622185,در قند هندوانه,11102,771,4.02
,ژوزف بالسامو,1017,58,3.98
0393978893,Wuthering Heights,1151139,30435,3.84
9789644870415,سرگذشت هکلبری‌فین,1071189,13911,3.81
9789647196406,دزیره,7635,569,4.05
Persian,مدرسهٔ نیکولا کوچولو,548,10,4.16
Persian,وضعيت آخر,14900,357,3.72
9646751598,افرا، یا روز می‌گذرد,536,40,3.82
0060589280,Eleven Minutes,131595,6097,3.69
9643412210,هویت,17761,1165,3.68
Persian,نان و شراب,2025,167,3.85
9789644450839,هملت,641771,10677,4.01
9640004227,ابلوموف,24937,743,4.03
Persian,ویران می‌آیی,680,46,3.22
9789642090334,خاک غریب,72920,7427,4.12
9789643692421,هرگز ترکم مکن,391957,26851,3.81
9789643804633,بهرام بیضایی/جدال با جهل,97,13,3.56
9644870735,رگتایم,34141,2211,3.88
9789643054,انگار گفته بودی لیلی,917,55,3.17
0451529308,Little Women,1461825,20139,4.06
964448116X,شیدایی لل. و. اشتاین,2734,191,3.67
0096436220,عاشقیت در پاورقی,566,14,3.28
9649031382,پا برهنه تا صبح,62,8,3.60
0452287022,Girl with a Pearl Earring,559957,8804,3.87
964405203X,سوربز,20287,1680,4.24
9643117332,خاله بازی,296,23,2.98
9643052532,گاوخونی,1502,108,3.55
Persian,شور زندگی: ماجرای زندگی ونسان وان گوگ نقاش هلندی,18060,1031,4.23
9646229867,راه هنرمند,86050,2168,3.90
Persian,كافه زير دريا (Il Bar sotto il Mare),3548,133,3.83
9644320379,رازهای هیساکو,96,3,3.24
9644480643,کلیسای جامع و چند داستان دیگر,24391,1240,4.29
9643129497,داستان‌های کوتاه امریکای لاتین,355,15,3.71
Persian,مربای شیرین,800,39,3.36
9647049358,ده فرمان,720,24,4.05
9647033931,کیمیاگر,1709026,66504,3.85
9643053407,تاریخ بیهقی,494,38,4.31
964704948X,مرگ و دختر جوان,2944,190,3.95
9789647230672,دوربین قدیمی و اشعار دیگر,139,7,3.32
0316166685,The Lovely Bones,1815434,38620,3.79
0156001314,The Name of the Rose,257839,7255,4.12
Persian,ها كردن,978,69,2.89
964773624X,بوف کور,15534,1312,3.98
Persian,قدرت اسطوره,38430,1527,4.30
Persian,پاهای کثیف,585,20,3.42
:978964305986,پرچینی از اقاقیا,5,1,2.20
9645512824,سه برخوانی: اژدهاک، آرش، کارنامه‌ی بندار بیدخش,419,40,3.99
9643720683,منطق الطیر,3518,281,4.22
9643030117,گزیده‌ی غزلیات شمس,1155,80,4.30
9645643694,(درختِ انجیرِ معابد (جلدِ دوّم,401,37,3.95
9643621634,گل‌های معرفت,591,67,3.54
964551276X,مثل آب برای شکلات,303159,7748,3.94
9789643310004,سیذارتا,490135,14165,4.01
Persian,قمار عاشقانه,673,56,3.81
9643057720,ترلان,442,54,2.71
9647387598,تنهایی دم مرگ,270,22,3.91
9789644482021,یک مهمانی یک رقص,151,16,3.60
9789643116095,بازی آخر بانو,463,44,3.20
9643290662,مکبث,590444,9323,3.89
Persian,کتابخانه بابل و ۲۳ داستان دیگر,557,66,3.88
0140187286,The Lost Honor of Katharina Blum,9428,505,3.69
,فرار,18242,1915,3.98
Persian,اهل غرق,161,20,3.48
9647049498,موسیقی آب گرم,11303,418,3.92
9789644482854,تفسیرهای زندگی,188,18,3.98
9188296512,تمثال,47,3,3.68
9786009407217,کمونیسم رفت، ما ماندیم و حتی خندیدیم,2129,294,4.03
9789640018224,ریشه‌ها,133574,2984,4.43
Persian,لالایی ها، افسانه ها، دروغ ها,299,8,3.39
Persian,مائده های زمینی و مائده های تازه,2280,163,3.64
Persian,رولان بارت,673,40,4.06
9644480236,اگزیستانسیالیسم و اصالت بشر,19151,763,3.96
9644480880,درد,1817,130,3.85
Persian,چاه بابل,999,133,3.88
9649545263,سه تک‌گویی,69,1,3.29
Persian,مرثیه‌های خاک,454,21,3.98
9644480511,عاشق,29829,2089,3.75
9789649971674,خانواده‌ی پاسکوآل دوآرته,6793,417,3.72
9648838798,میراث,354,34,3.48
9789648433119,رنگ‌های رفته‌ی دنيا,429,36,3.72
Persian,فضیلت‌های ناچیز,1648,208,3.98
Persian,مادلن,222,7,3.13
Persian,اسیر فرانسوی,169,6,3.10
9646641393,زنگ تفریح نیكولا كوچولو,3217,95,4.25
9789643129422,پيکر زن همچون ميدان نبرد در جنگ بوسنی,620,68,3.83
Persian,کریستین و کید,319,20,3.61
9643127176,اراده به دانستن,15789,648,4.04
9789643620998,دلاويزترين,471,17,3.90
9644870506,ساربان سرگردان,656,26,3.31
9649211411,نقاشی ایران,215,13,3.87
964551259x,چهارصندوق,525,46,3.91
9641910176,سطرها در تاریکی جا عوض می‌کنند,614,55,3.61
9643114201,تیرهای سقف را بالا بگذارید، نجاران و سیمور: پیشگفتار,43427,1520,4.12
9644321405,پیروزی بر شب,116,8,3.56
964675127X,مجلس قربانی سنمار,242,23,3.93
9647134606,رفیق اعلی: روزنه ای به زندگی فرانچسکوی قدیس,541,42,3.63
9786009160693,گفتار در بندگی خودخواسته,2328,307,3.96
964551219x,قصه‌های میر کفن‌پوش، فیلم‌نامه,165,14,3.59
9646641873,دوستان نیكولا كوچولو,3733,97,4.24
9646138675,دریا پری، کاکل زری,420,17,3.47
9643626242,شاخ,187,27,2.94
9643053962,کولی کنار آتش,253,18,3.23
9789645881625,چه كسي باور مي‌كند رُستم,439,47,3.56
9789647948623,هم‌نام,210540,10838,3.98
9789644480980,باغ در باغ، جلد دوم,120,9,3.69
9644322940,کلاس پرنده,2749,121,4.16
9789644482892,هنر سیر و سفر,17595,1085,3.82
1857993284,Sophie's World,166411,9083,3.91
9789644870446,فراسوی نیک و بد,50162,1429,4.02
9644452003,اودیسه,782004,9983,3.75
0009641161962,روح پراگ,1202,159,3.86
9789647134545,آینده‌ی آزادی,2797,233,4.01
9643513408,سمفونی سپیده دم,69,5,3.55
9645676177,قصه های کتاب کوچه,98,5,4.34
9643290395,غروب بت‌ها,6021,382,3.93
0140282580,Steppenwolf,113894,3784,4.12
Persian,بفرمایید بنشینید صندلی عزیز (مجموعه شعر طنز)‏,95,9,2.96
9789643624088,مرگ‌بازی,177,17,2.72
9646246036,سفر بخير مسافر غمگين پاييز پنجاه و هشت,29,4,3.76
Persian,اهل غرق,161,20,3.48
9646205194,لیدی ال,1676,141,3.56
9643122867,شب,10,2,3.60
9789644481390,جایی دیگر,741,57,3.47
9643341399,دو برج,604843,8383,4.43
9789644484322,بازی در سپیده دم و رویا,8065,432,3.78
9643341739,بازگشت شاه,578365,8008,4.52
Persian,ژاک قضا و قدری و اربابش,6308,238,3.84
Farsi,پیدایی اندیشه سیاسی عرفانی در ایران: از عزیز نسفی تا صدرالدین شیرازی,3,2,2.00
964623304x,برندگان و بازندگان,119,13,3.58
9643124347,ترس و لرز,16187,788,4.00
9789647468381,رذل,8461,576,3.59
Persian,دمرل,91,1,3.25
9789647253246,خیره به خورشید,4577,346,4.17
Persian,آرش,279,24,4.15
Persian,زین سایه سار پر برگ,12,1,3.83
Persian,منتقدان فرهنگ,10,2,3.00
,درحال پوست كندن پياز,1424,150,3.79
Persian,در ولایت هوا,53,9,3.40
Persian,حافظ ناشنیده پند: برگی چند از دفتر خاطرات محمد گلندام,184,27,3.52
9643513246,گذشت زمانه,14,0,3.14
9648027005,پرنده پنهان,125,14,3.47
0385339704,The Pelican Brief,328032,2270,3.98
fara110277,در کوچه باغ های نشابور,409,25,3.77
Persian,اسرار تاریکخانه‌ها,2,0,2.50
Persian,پولینا چشم‌ وچراغ کوهپایه,479,29,3.57
978964445005x,تاریخ فلسفه,11968,771,4.11
9643633489,سالومه,10121,515,3.69
9643057100,فرهنگ لغات زبان مخفی,184,5,3.25
Persian,قصه های شیخ اشراق,152,16,4.18
3822859869,Paul Gauguin: 1848-1903 the Primitive Sophisticate,227,12,4.00
,خاك بكر,1686,65,3.82
964380206x,ژه,948,112,3.64
9643623475,چیزی در همین حدود,24,4,3.17
3822821985,Francis Bacon: 1909-1992,1440,17,4.14
Persian,مرگ کسب‌وکارِ من است,3582,208,4.34
071483355X,The Story of Art,243972,651,3.89
Persian,شاه سیاه‌پوشان,88,7,3.69
Persian,در کوی دوست,41,5,3.66
Persian,افسانه‌های آذربایجان,464,20,3.88
9789646174313,مرگ کسب و کار من است,3580,208,4.34
Persian,کنیزو,172,11,3.28
9640104558,جزء و کل,611,49,4.33
Persian,پیکر فرهاد,1268,94,3.36
0192840398,Madame Bovary,214850,8865,3.66
9789643059972,رویای مادرم,6491,574,4.03
9789644484230,ننه دلاور و فرزندان او,13697,304,3.65
9643125661,سالن 6، یادداشت‌‌های روزانه‌ی زندان,194,11,3.50
0142437298,Herzog,17287,993,3.78
9649317074,معماى هويدا,790,71,4.05
9647603355,دیدار با احمد محمود,14,1,4.07
0151009988,Mrs. Dalloway,191631,7888,3.79
9786002294821,پاییز فصل آخر سال است,1779,373,3.75
9647033745,کوه پنجم,34458,1385,3.62
Persian,خدایان تشنه‌اند,1685,127,3.74
0003027600,دیوان كلیات شمس تبریزی,2069,72,4.56
9645541042,هنر,113,3,3.04
Persian,لائیسیته چیست؟,13,3,3.31
9786005759044,یک دم نور (پولارویدهای تارکوفسکی)‏,490,26,4.41
9789643804732,تاریخ شفاهی ادبیات معاصر ایران - کتاب 5: مهدی غبرائی,11,3,3.55
Farsi,اقتصاد ایران به کدام سو می رود؟,5,0,4.20
Persian,مادمازل کتی و چند داستان دیگر,127,11,2.90
3378765964,طاهره طاهره عزیزم,142,29,3.26
9645776155,زن فرودگاه فرانکفورت,100,2,2.98
,باغ راما,19879,318,3.78
9786005193053,در جهت عکس: 39 عکس، 39 جستار,51,12,3.53
6009423015,بهترین داستان‌های آلیس مانرو,1280,175,4.15
,آنی رویای سبز:جلد دوم,120833,3860,4.22
English,Unkempt Thoughts,253,21,4.26
9645620694,مسيح باز مصلوب,4956,390,4.28
9789649197548,تونیو کروگر,4940,192,3.73
9647779011,دنیای کوچک دن کامیلو,2664,240,4.23
9646057739,من تا صبح بیدارم,671,18,3.41
9647191278,آوازهای زن بی‌ اجازه,51,6,3.61
Persian,رنگ قایق‌ها مال شما,36,5,3.64
9786005033366,شانزدهم هپ‌ورث، 1924,1060,76,3.66
Persian,لبه تيغ,32352,2525,4.18
9786005140156,پرندگان در پاییز,1072,197,3.92
9786009407279,اینترنت با مغز ما چه می کند؟,18600,2540,3.87
9789646900592,بی شیر و شکر,63,6,3.24
9645870348,انسان روح است نه جسد جلد 1,174,8,3.72
Persian,بخشودن,87,18,3.38
9786009407224,مرگ,249,46,3.73
,آنی رویای سبز:جلد سوم,111397,2963,4.22
,آنی رویای سبز:جلد چهارم,64243,1784,4.07
9789643629762,دشمن,7823,542,3.44
Persian,اميد,499,33,3.68
0743278909,Jonathan Livingston Seagull,171327,6550,3.82
9789645960108,ماه و شش پشیز,15581,1005,4.13
9644482700,گنجشکها بهشت را می فهمند,20,1,3.40
9786002293749,راه‌های برگشتن به خانه,4118,477,3.83
9649021728,پدرو پارامو,32642,2293,4.05
9786002293237,صدای افتادن اشیا,11311,1214,3.77
9643691683,من قاتل پسرتان هستم,270,27,3.23
Persian,شب یک شب دو,488,112,3.95
9648765111,کلاه کافکا,227,16,3.42
9789647468510,صومعه پارم,13152,467,3.82
9789647425193,زندگی از نو,219,21,3.34
9647948891,قاضی و جلادش,7074,267,3.72
9644310470,پنین,15984,1172,3.89
9789643292874,انسانیت: تاریخ اخلاقی سده‌ی بیستم,1022,83,4.26
9647049994,کتاب موجودات خیالی,6581,432,4.10
Persian,جنون روز,317,28,4.14
9789641851813,بلندی‌های بادگیر,1151155,30435,3.84
9644480864,آبشالوم، آبشالوم,35377,1840,3.96
9786007283240,تو در قاهره خواهی مرد,80,23,2.63
9789643054762,هفت شب با بورخس,1431,116,4.33
9643124614,اندیشه‌های بنیادی در جامعه‌شناسی,54,3,3.61
Persian,شکونتلا,1081,81,3.81
B00OKNT2JS,Geai (Folio),948,112,3.64
9643115119,اوریکس و کریک,192665,11902,4.01
Persian,گزینه اشعار سید علی صالحی,114,4,3.95
English,Tales of Edgar Allan Poe,5900,307,4.25
0312421680,The Journey to the East,9517,492,3.70
9643200426,تاریخچه شیر و خورشید: تاریخچه چپق و قلیان,10,0,4.10
9786009371907,نوروز درمانی,8,1,3.75
9647033370,بریدا,60325,2954,3.47
1780833423,جیرجیرک‌ها دروغ نمی‌گویند,4,0,3.50
9789645600545,عرفان حافظ,177,9,3.43
9643514188,عزاداران بیل,1445,143,3.95
Persian,پسری که مرا دوست داشت,109,15,2.70
Farsi,شاهنامه,3738,240,4.52
,راز راما,11769,299,3.74
9789642091584,خانه‌ی ماتریونا به همراه خرده‌ریزها,1321,43,3.90
9789643059613,از اعماق,8832,694,4.18
0140446044,The Complete Essays,13913,532,4.23
Persian,قبل از مردن چشم‌هات رو ببند,8,0,3.13
9789644170072,تن تن و سندباد,146,33,3.12
Persian,عروسکخانه,91668,3298,3.71
9647475012,همه چیز فرو می پاشد,247067,11856,3.64
9789645529952,مصابا و رویای گاجرات,82,6,3.23
9645626102,مرزبان نامه,29,6,3.52
6002295003,جزء از کل,13147,1963,4.11
,کارگاه عملی موفقیت، موفقیت نامحدود در ۲۰ روز,136,10,3.63
Persian,به زودی یک نفر خودش را در اینجا حلق آوزیر خواهد کرد,7,1,4.00
9789641850328,نقد و نظر: درآمدی جامع بر نظریه‌های فمینیستی,507,35,3.89
9644482387,قمارباز,41668,1972,3.88
9786001191725,پتک آسمان,6660,254,3.68
1300385987,Gloomy Afternoon [Bad-Az-Zohr-e-Ghamgin],2,0,4.00
9789648673623,بینایی,15012,1308,3.79
9789641940593,هزار افسان کجاست؟,60,12,4.52
9786009371914,شبانه‌ی شیلی,7536,766,3.87
9789643626501,به هادس خوش آمديد,130,14,2.76
Persian,گفت‌وگو با مهدی سحابی,12,2,2.50
97896458811,گل‌ها همه آفتابگردانند,535,32,3.67
Persian,بیگانه ای در کنار میرزا کوچک خان,1,0,4.00
9789645571175,در بندر آبی چشمانت,385,51,3.90
9789645776624,عطر سنبل عطر کاج,16713,2389,3.79
9786009223756,طرح بزرگ,54920,2340,4.03
9649214704,غیرمنتظره,551,36,3.45
9188297802,اعترافات شکنجه شدگان,48,9,4.06
9786005941654,خانه,18300,2912,3.99
9789645529751,سهم من,6044,505,4.21
Persian,قول,3479,317,3.97
Persian,علویه خانم,1183,56,3.71
9648175020,مردی در تبعید ابدی,1060,150,4.14
Persian,نوسترومو,14107,548,3.81
9789641855200,از سرد و گرم روزگار,174,35,3.57
9647468350,افسانه سیزیف,16055,862,4.15
9643054810,در جستجوی زمان از دست رفته,9049,500,4.34
Farsi,تفت پیازداغ در ناکجاآباد,6,0,4.00
9643115895,عشق در زمان وبا,356848,17086,3.90
Persian,پیوندهای پنهان,619,43,3.95
9789643053369,راز فال ورق,19063,1174,4.17
9645960932,گات ها,105,15,3.92
Persian,رابین هود,84,4,3.69
9789644428685,وقتی خدا می نوازد (When God plays),10,5,4.10
Persian,If I were you - Jaye to,57,7,4.60
9786009423002,سوءتفاهم نامه,10,1,4.20
Persian,روزی که صداها را دیدم,68,7,3.54
English,The Metamorphosis,509157,13306,3.80
0571203132,Zorba the Greek,29930,3081,4.08
2912490367,روزها در راه,97,10,4.28
6009489814,می خواستم چیزی بهت بگم,2721,212,4.10
9786005941098,ایراندخت,52,3,3.40
9649508702,خفیه‌نگاری خشونت در سرزمین آدم لِتی‌ها,6,1,2.83
9645643686,درخت انجير معابد,401,37,3.95
9644791189,Daughters of Another Path: Experiences of American Women Choosing Islam,461,33,4.01
9789642430536,آخرین انار دنیا,615,100,3.92
Persian,قصه‌های خوب برای بچه‌های خوب --- ۶,1506,40,3.78
Persian,زنانی که زیر مقنعه کلاهداری نموده‌اند,14,3,3.36
Persian,چهره مرد هنرمند در جوانی,113398,4509,3.61
9644480686,دنیای قشنگ نو,1237580,24447,3.98
964329059X,اسفار کاتبان,982,79,3.82
Persian,خرمگس,7395,447,4.16
9786002292742,اتحادیه‌ی ابلهان,207271,13391,3.89
9643510174,بارون درخت نشین,23180,1181,4.06
9644870298,مسیح بازمصلوب,4956,390,4.28
9789643127244,نظريه طبقه تن‌آسا,2784,156,3.92
9789643055875,فرانی و زویی,172644,5841,3.98
9645509041,زن زیادی,2409,100,3.17
9789644310621,بازمانده روز,163705,11202,4.11
964913980X,درخت زیبای من,21676,1669,4.39
9646181643,لیلی نام تمام دختران زمین است,1493,70,3.44
9643113744,سال بلوا,3451,291,3.87
Persian,قصه های مجید,2435,84,4.04
9644480481,پرنده خارزار,290667,5183,4.23
0060531045,One Hundred Years of Solitude,648171,25349,4.06
Persian,بامداد خمار,4749,200,2.96
9643111563,دلتنگی‌های نقاش خیابان چهل و هشتم,124170,3871,4.19
Persian,خانم دلوی,191643,7889,3.79
9643621936,گور به گور,122391,6409,3.72
9643050108,یوزپلنگانی که با من دویده‌اند,2411,300,3.63
9645529343,بار دیگر شهری که دوست می‌داشتم,4499,285,3.69
Persian,(جان شیفته (دورۀ ۴ جلدی,1276,69,4.05
Persian,داستان خرس‌های پاندا: به روایت یک ساکسیفونیست که دوست‌دختری در فرانکفورت دارد,3627,293,3.98
539471964x,من او,3762,334,3.78
0964963729,در انتظار گودو,137444,4636,3.82
9647033192,کنار رود پیدرا نشستم و گریستم,78731,3400,3.57
9648497435,وقتی نیچه گریست,34152,2005,4.29
9643057984,عادت می‌کنیم,3705,192,3.16
0156012197,The Little Prince,1070200,31145,4.30
9789643622114,ابله,106902,4092,4.19
Persian,سمفونی مردگان,9860,841,4.13
Persian,قصه‌های خوب برای بچه‌های خوب --- ۴,1979,71,3.77
9789640004180,بینوایان,603246,13641,4.16
9645967260,جین ایر,1416014,35671,4.11
Persian,غزلیات سعدی,1754,69,4.60
9789645626851,دایی جان ناپلئون,4095,459,4.14
9643200620,دزيره,7635,569,4.05
9644481372,شازده احتجاب,3488,246,3.75
,روی ماه خداوند را ببوس,6265,462,3.09
Persian,زندگی در پیش رو,10978,895,4.17
Persian,کلیدر,2772,212,4.30
0812968379,Funny in Farsi: A Memoir of Growing Up Iranian in America,16713,2389,3.79
9789641750338,جاناتان، مرغ دریایی,171332,6550,3.82
0096460263,تولدی دیگر,2513,79,4.11
9643623203,جای خالی سلوچ,3534,337,4.11
Persian,زمستان,3446,127,4.15
8496501027,Suvashun,5625,366,3.88
9789644480607,تهوع,70451,2436,3.92
9789647230742,ورونیکا تصمیم می‌گیرد بمیرد,150481,6983,3.70
9643412253,بار هستی,285975,12681,4.09
9786008382348,گم شده ای در مه,865,217,4.05
Persian,گتسبی بزرگ,3226039,58439,3.91
964936448X,مسخ,509159,13306,3.80
9648223092,میرا,4354,396,3.88
9645575087,شعرها ١٣٢٣ - ١٣٧٨: دفتر یکم,2804,78,4.43
9644481429,خداحافظ گاری کوپر,6207,452,3.94
0316769177,The Catcher in the Rye,2392510,50708,3.80
9649364471,سگ ولگرد,5683,209,3.77
0000058990,به كودكی كه هرگز زاده نشد,10018,723,3.90
9645709520,تنهایی پر هیاهو,12440,1353,4.10
9649007903,هشت کتاب,6090,223,4.10
9646751290,سلاخ‌خانه‌ی شماره‌ی پنج,999374,23091,4.07
9647033206,کيمياگر,1708857,66497,3.85
9789644482279,همنوایی شبانه‌ی ارکستر چوبها,5614,343,3.81
9646736599,چشمهایش,7446,546,3.62
Persian,۱۹۸۴,2523110,56216,4.17
9789643056568,چراغ‌ها را من خاموش می‌کنم,6737,380,3.54
0452284244,Animal Farm,2298752,44268,3.91
9789644480621,خشم و هیاهو,145368,6250,3.86
9647196229,صد سال تنهایی,648174,25349,4.06
9643510042,بیگانه,576480,18382,3.97
9644480457,مسخ و درباره‌ مسخ,509159,13306,3.80
964351319X,پیرمرد و دریا,689077,20427,3.75
9789644870026,جنایت و مکافات,524070,15161,4.20
9649051759,ماهی سیاه کوچولو,9753,527,4.13
9643059146,بیگانه,576480,18382,3.97
Persian,حافظ شیراز,6973,312,4.64
9644480414,دنیای سوفی: داستانی دربارۀ تاریخ فلسفه,166407,9083,3.91
,قلعه حيوانات,2298596,44263,3.91
9786009746361,ساعت‌ها,200,17,4.61
9645881927,بادبادک‌باز,2127979,66177,4.28
Persian,مرشد و مارگريتا,195288,9063,4.31
9643113442,سمفونی مردگان,9859,841,4.13
9786007072714,زندگی مه آلود پریا,891,128,3.92
9646900992,ناتور دشت,2392525,50708,3.80
9645571766,عقاید یک دلقک,17536,1081,4.03
Persian,شازده کوچولو,1070220,31145,4.30
9644480570,بیگانه,576480,18382,3.97
